,lat,lon,d_to_next,fancy_name
Melbourne,-37.9725665,145.0531353,6075 km,1. Melbourne
Singapore,1.314,103.84425,3808 km,2. Singapore
Shanghai,31.2243489,121.4767528,1458 km,3. Shanghai
Suzuka,34.8934074,136.5188741,7337 km,4. Suzuka
Baku,40.3945925,49.8549596,1825 km,5. Baku
Yas Marina,24.4699413,54.6029318,329 km,6. Yas Marina
Lusail,25.4174175,51.5152788,121 km,7. Lusail
Sakhir,26.0335888,50.516887,1258 km,8. Sakhir
Jeddah,21.450123,39.2111492,3408 km,9. Jeddah
Budapest,47.4812134,19.130303,330 km,10. Budapest
Spielberg,47.2196684,14.7625382,396 km,11. Spielberg
Imola,44.3605216,11.7085437,234 km,12. Imola
Monza,45.5796622,9.2759867,252 km,13. Monza
Monaco,43.7378514,7.4258524,487 km,14. Monaco
Barcelona,41.5696659,2.2553006,1027 km,15. Barcelona
Spa,50.4445221,5.9628182,236 km,16. Spa
Zandvoort,52.3810739,4.553767,381 km,17. Zandvoort
Silverstone,52.0692786,-1.0239735,5145 km,18. Silverstone
Montreal,45.5591827,-73.7118733,3598 km,19. Montreal
Las Vegas,36.125,-115.175,1742 km,20. Las Vegas
Austin,30.3077609,-97.7557424,1222 km,21. Austin
Mexico City,19.3907336,-99.1436127,2065 km,22. Mexico City
Miami,25.7824075,-80.2294585,6584 km,23. Miami
Sao Paulo,-23.6824124,-46.5952992,,24. Sao Paulo
